Feature,Value,Model,test_subjects
upperarm_acc_mad,0.026511244299875246,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.02532577991486476,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_med,0.02529341609751474,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.025263873828052504,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_rms,0.02430843519075448,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_std,0.023757387020034004,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_std,0.02361052822719333,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_mad,0.023253011089502063,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_min,0.023053237825445175,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.02284752430429139,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_mean,0.022527227899128248,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_mad,0.022434338672999213,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_min,0.021533578010522733,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_min,0.021042184951614043,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.020763858714078993,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_std,0.020311016814589914,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.020120341250547614,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.02011584001359967,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.019496540009220457,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.019173741263217005,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.019148464143072745,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.01908848956096463,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_min,0.018464691479492177,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_max,0.01800997075031916,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_max,0.017975658878555775,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_med,0.017961434374613706,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.017765211712367567,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.017585734770336713,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.017212817090495006,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.01713670221809758,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_max,0.016942939501762636,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_std,0.016846501164750335,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_mean,0.016715753891487394,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_mad,0.01647269800597316,ExtraTreesClassifier,"(2, 3, 6)"
