Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Extra Trees Regressor,1.7668,5.2237,2.2639,0.2579,0.5597,0.505,0.115,"(2, 3, 4)"
Random Forest Regressor,1.8705,5.6878,2.3584,0.1992,0.5887,0.5514,0.205,"(2, 3, 4)"
Light Gradient Boosting Machine,1.9407,6.0925,2.4484,0.1291,0.6077,0.5398,0.043,"(2, 3, 4)"
Gradient Boosting Regressor,1.9547,6.2421,2.4734,0.1145,0.6026,0.5633,0.142,"(2, 3, 4)"
AdaBoost Regressor,2.0576,6.4191,2.5199,0.081,0.632,0.592,0.081,"(2, 3, 4)"
Linear Regression,2.0727,6.9935,2.6275,-0.0114,0.6264,0.5985,0.017,"(2, 3, 4)"
Ridge Regression,2.0959,6.7861,2.5886,0.0228,0.6449,0.5995,0.017,"(2, 3, 4)"
Huber Regressor,2.1022,6.6752,2.5633,0.0496,0.6445,0.606,0.023,"(2, 3, 4)"
Orthogonal Matching Pursuit,2.1755,7.0996,2.6495,-0.014,0.6667,0.65,0.017,"(2, 3, 4)"
Elastic Net,2.1874,7.0751,2.6494,-0.0173,0.6632,0.6658,0.02,"(2, 3, 4)"
Lasso Regression,2.1897,7.0889,2.6514,-0.0178,0.6641,0.6679,0.018,"(2, 3, 4)"
Lasso Least Angle Regression,2.1897,7.0889,2.6514,-0.0178,0.6641,0.6679,0.019,"(2, 3, 4)"
Decision Tree Regressor,2.192,8.8684,2.935,-0.2696,0.7223,0.655,0.018,"(2, 3, 4)"
Bayesian Ridge,2.1979,7.1548,2.6633,-0.0263,0.6683,0.6674,0.017,"(2, 3, 4)"
Dummy Regressor,2.209,7.1861,2.6671,-0.0267,0.6673,0.6801,0.018,"(2, 3, 4)"
K Neighbors Regressor,2.2726,8.1035,2.8164,-0.1565,0.6921,0.6658,0.017,"(2, 3, 4)"
Passive Aggressive Regressor,4.0238,26.7568,4.8145,-2.5574,1.0874,0.989,0.018,"(2, 3, 4)"
