Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Extra Trees Regressor,1.4307,3.5986,1.8936,0.358,0.5985,0.4789,0.09,"(1, 2, 3)",wrist,3
Random Forest Regressor,1.4801,3.7991,1.9461,0.3219,0.6101,0.5,0.201,"(1, 2, 3)",wrist,3
Light Gradient Boosting Machine,1.4941,3.948,1.9828,0.2941,0.6179,0.5387,0.05,"(1, 2, 3)",wrist,3
Gradient Boosting Regressor,1.5671,4.0616,2.0126,0.2746,0.6288,0.5481,0.108,"(1, 2, 3)",wrist,3
Linear Regression,1.7442,4.8823,2.2056,0.1308,0.6758,0.6341,0.792,"(1, 2, 3)",wrist,3
Bayesian Ridge,1.7967,5.0221,2.2367,0.1063,0.6881,0.6526,0.018,"(1, 2, 3)",wrist,3
Ridge Regression,1.8308,5.1257,2.2602,0.0873,0.6983,0.6682,0.015,"(1, 2, 3)",wrist,3
Huber Regressor,1.86,5.5229,2.3457,0.0166,0.6941,0.6292,0.025,"(1, 2, 3)",wrist,3
Decision Tree Regressor,1.9019,7.5711,2.7452,-0.3494,0.8282,0.7169,0.022,"(1, 2, 3)",wrist,3
Lasso Least Angle Regression,1.9326,5.4848,2.3395,0.022,0.7233,0.7071,0.013,"(1, 2, 3)",wrist,3
Lasso Regression,1.9326,5.4848,2.3395,0.022,0.7233,0.7071,0.248,"(1, 2, 3)",wrist,3
Elastic Net,1.933,5.482,2.339,0.0224,0.7233,0.7083,0.016,"(1, 2, 3)",wrist,3
Orthogonal Matching Pursuit,1.9366,5.6061,2.3649,0.0012,0.7266,0.6994,0.016,"(1, 2, 3)",wrist,3
Dummy Regressor,1.9631,5.6455,2.3734,-0.0062,0.7283,0.7241,0.018,"(1, 2, 3)",wrist,3
AdaBoost Regressor,1.9654,5.3775,2.3165,0.0397,0.7576,0.8171,0.049,"(1, 2, 3)",wrist,3
K Neighbors Regressor,1.9687,6.0521,2.4584,-0.0823,0.7403,0.7268,0.024,"(1, 2, 3)",wrist,3
Passive Aggressive Regressor,2.6396,11.1254,3.204,-0.9575,0.9082,1.1739,0.015,"(1, 2, 3)",wrist,3
Least Angle Regression,14.8634,2976.183,19.4163,-506.498,1.0166,7.856,0.019,"(1, 2, 3)",wrist,3
Extra Trees Regressor,1.5305,4.0407,2.0069,0.367,0.6155,0.4908,0.085,"(1, 2, 4)",wrist,3
Random Forest Regressor,1.5729,4.211,2.0497,0.3392,0.6262,0.5154,0.191,"(1, 2, 4)",wrist,3
Light Gradient Boosting Machine,1.579,4.3764,2.088,0.314,0.6262,0.5359,0.048,"(1, 2, 4)",wrist,3
Gradient Boosting Regressor,1.6763,4.5849,2.1378,0.281,0.6495,0.559,0.11,"(1, 2, 4)",wrist,3
Linear Regression,1.879,5.4514,2.3312,0.1451,0.7025,0.6476,0.018,"(1, 2, 4)",wrist,3
Ridge Regression,1.9663,5.7382,2.3934,0.0988,0.721,0.6786,0.017,"(1, 2, 4)",wrist,3
Bayesian Ridge,1.9691,5.7828,2.403,0.0911,0.7229,0.6754,0.014,"(1, 2, 4)",wrist,3
Huber Regressor,1.98,6.0876,2.465,0.0433,0.7161,0.6477,0.023,"(1, 2, 4)",wrist,3
Decision Tree Regressor,1.9891,8.1621,2.8488,-0.2784,0.8231,0.7325,0.017,"(1, 2, 4)",wrist,3
Lasso Least Angle Regression,2.0915,6.2281,2.4939,0.0227,0.7544,0.722,0.014,"(1, 2, 4)",wrist,3
Lasso Regression,2.0915,6.2281,2.4939,0.0227,0.7544,0.722,0.018,"(1, 2, 4)",wrist,3
Elastic Net,2.0917,6.2256,2.4934,0.023,0.7543,0.7227,0.018,"(1, 2, 4)",wrist,3
Orthogonal Matching Pursuit,2.1022,6.3937,2.5265,-0.0023,0.7588,0.7184,0.017,"(1, 2, 4)",wrist,3
Dummy Regressor,2.1046,6.4183,2.5317,-0.0064,0.7591,0.7315,0.023,"(1, 2, 4)",wrist,3
AdaBoost Regressor,2.1073,6.0444,2.4572,0.05,0.7807,0.816,0.058,"(1, 2, 4)",wrist,3
K Neighbors Regressor,2.1498,7.0241,2.6468,-0.1002,0.7718,0.7509,0.019,"(1, 2, 4)",wrist,3
Passive Aggressive Regressor,3.0425,14.1271,3.7352,-1.2053,1.0131,1.3399,0.018,"(1, 2, 4)",wrist,3
Least Angle Regression,466.1692,3626793.6242,608.1348,-575314.5077,1.6222,222.4244,0.017,"(1, 2, 4)",wrist,3
Extra Trees Regressor,1.6219,4.4055,2.097,0.2984,0.6206,0.511,0.093,"(1, 2, 5)",wrist,3
Light Gradient Boosting Machine,1.6499,4.6489,2.1546,0.2589,0.6258,0.5354,0.05,"(1, 2, 5)",wrist,3
Random Forest Regressor,1.6518,4.5056,2.121,0.2822,0.629,0.5168,0.182,"(1, 2, 5)",wrist,3
Gradient Boosting Regressor,1.7508,4.8984,2.2127,0.218,0.6503,0.5619,0.11,"(1, 2, 5)",wrist,3
Linear Regression,1.9363,5.6288,2.3697,0.1049,0.6913,0.6572,0.022,"(1, 2, 5)",wrist,3
Huber Regressor,1.9801,5.9829,2.4441,0.0488,0.6923,0.6434,0.025,"(1, 2, 5)",wrist,3
Ridge Regression,1.9896,5.7991,2.4067,0.0775,0.7,0.682,0.023,"(1, 2, 5)",wrist,3
Bayesian Ridge,1.9987,5.8394,2.4148,0.0717,0.7016,0.6879,0.02,"(1, 2, 5)",wrist,3
Elastic Net,2.0413,6.1005,2.4682,0.0307,0.7155,0.7055,0.023,"(1, 2, 5)",wrist,3
Lasso Least Angle Regression,2.0426,6.1028,2.4687,0.0303,0.7155,0.7054,0.023,"(1, 2, 5)",wrist,3
Lasso Regression,2.0426,6.1028,2.4687,0.0303,0.7155,0.7054,0.024,"(1, 2, 5)",wrist,3
Orthogonal Matching Pursuit,2.0742,6.2169,2.4917,0.0121,0.7181,0.7111,0.02,"(1, 2, 5)",wrist,3
AdaBoost Regressor,2.0832,6.0449,2.457,0.0388,0.7399,0.7914,0.062,"(1, 2, 5)",wrist,3
Dummy Regressor,2.1032,6.3378,2.5158,-0.0071,0.7244,0.7387,0.024,"(1, 2, 5)",wrist,3
K Neighbors Regressor,2.1366,6.9804,2.6404,-0.1102,0.7379,0.7331,0.022,"(1, 2, 5)",wrist,3
Decision Tree Regressor,2.144,9.0326,3.0002,-0.4477,0.8526,0.7406,0.023,"(1, 2, 5)",wrist,3
Passive Aggressive Regressor,4.5275,34.2525,5.4683,-4.446,1.1143,2.0614,0.019,"(1, 2, 5)",wrist,3
Least Angle Regression,88.4578,126808.3436,118.8764,-21767.8781,1.4479,39.5293,0.021,"(1, 2, 5)",wrist,3
Extra Trees Regressor,1.4297,3.6209,1.8985,0.3621,0.5877,0.4922,0.09,"(1, 2, 6)",wrist,3
Random Forest Regressor,1.4622,3.8069,1.9474,0.3291,0.5975,0.5023,0.188,"(1, 2, 6)",wrist,3
Light Gradient Boosting Machine,1.5034,3.9819,1.9925,0.2983,0.6046,0.5427,0.054,"(1, 2, 6)",wrist,3
Gradient Boosting Regressor,1.6046,4.2539,2.0603,0.2501,0.6325,0.5625,0.121,"(1, 2, 6)",wrist,3
Linear Regression,1.7885,4.9553,2.2234,0.1264,0.6833,0.6394,0.019,"(1, 2, 6)",wrist,3
Huber Regressor,1.8689,5.5333,2.3492,0.0253,0.6885,0.6163,0.026,"(1, 2, 6)",wrist,3
Ridge Regression,1.8816,5.2781,2.2951,0.0696,0.7017,0.6741,0.025,"(1, 2, 6)",wrist,3
Bayesian Ridge,1.9015,5.3773,2.3167,0.0518,0.708,0.6809,0.031,"(1, 2, 6)",wrist,3
Decision Tree Regressor,1.9203,7.6577,2.7614,-0.3565,0.7944,0.7392,0.024,"(1, 2, 6)",wrist,3
Orthogonal Matching Pursuit,1.9558,5.6275,2.3708,0.0072,0.7267,0.6941,0.024,"(1, 2, 6)",wrist,3
Lasso Regression,1.9599,5.61,2.3672,0.0102,0.7262,0.6986,0.026,"(1, 2, 6)",wrist,3
Lasso Least Angle Regression,1.9599,5.61,2.3672,0.0102,0.7262,0.6986,0.027,"(1, 2, 6)",wrist,3
Elastic Net,1.9614,5.6065,2.3664,0.0107,0.7262,0.7002,0.028,"(1, 2, 6)",wrist,3
Dummy Regressor,1.99,5.6902,2.384,-0.0039,0.7301,0.7234,0.026,"(1, 2, 6)",wrist,3
K Neighbors Regressor,2.0324,6.4262,2.5332,-0.1352,0.7535,0.7294,0.029,"(1, 2, 6)",wrist,3
AdaBoost Regressor,2.0406,5.7073,2.3874,-0.0077,0.7709,0.85,0.056,"(1, 2, 6)",wrist,3
Passive Aggressive Regressor,3.1992,16.534,3.9801,-1.9329,1.0397,1.4923,0.022,"(1, 2, 6)",wrist,3
Least Angle Regression,6.2574,96.1199,8.0708,-15.9855,1.1098,2.6993,0.024,"(1, 2, 6)",wrist,3
Extra Trees Regressor,1.6162,4.3249,2.0763,0.3433,0.6308,0.5216,0.095,"(1, 2, 8)",wrist,3
Random Forest Regressor,1.6707,4.5768,2.1363,0.304,0.6477,0.539,0.194,"(1, 2, 8)",wrist,3
Light Gradient Boosting Machine,1.68,4.6924,2.1629,0.287,0.6475,0.5614,0.054,"(1, 2, 8)",wrist,3
Gradient Boosting Regressor,1.7631,4.9012,2.2109,0.2558,0.6634,0.5805,0.118,"(1, 2, 8)",wrist,3
Linear Regression,1.932,5.6206,2.3676,0.1465,0.71,0.6394,0.024,"(1, 2, 8)",wrist,3
Ridge Regression,2.0136,5.8857,2.4236,0.1052,0.7296,0.6714,0.022,"(1, 2, 8)",wrist,3
Huber Regressor,2.0138,6.1777,2.4829,0.061,0.7274,0.6319,0.034,"(1, 2, 8)",wrist,3
Bayesian Ridge,2.0333,5.9626,2.4393,0.0937,0.7351,0.6799,0.027,"(1, 2, 8)",wrist,3
Elastic Net,2.1096,6.315,2.51,0.0409,0.7572,0.6981,0.024,"(1, 2, 8)",wrist,3
Lasso Least Angle Regression,2.1114,6.3177,2.5105,0.0406,0.7574,0.6991,0.029,"(1, 2, 8)",wrist,3
Lasso Regression,2.1114,6.3177,2.5105,0.0406,0.7574,0.6991,0.026,"(1, 2, 8)",wrist,3
AdaBoost Regressor,2.1405,6.203,2.4882,0.0564,0.7826,0.7977,0.062,"(1, 2, 8)",wrist,3
Orthogonal Matching Pursuit,2.1602,6.5831,2.563,-0.0001,0.7658,0.7222,0.029,"(1, 2, 8)",wrist,3
Dummy Regressor,2.1676,6.6278,2.5719,-0.0072,0.7671,0.7348,0.029,"(1, 2, 8)",wrist,3
Decision Tree Regressor,2.1852,9.3227,3.0502,-0.4202,0.8718,0.8014,0.026,"(1, 2, 8)",wrist,3
K Neighbors Regressor,2.1893,7.3434,2.7045,-0.114,0.7815,0.7326,0.023,"(1, 2, 8)",wrist,3
Passive Aggressive Regressor,3.7464,23.6644,4.5471,-2.6868,1.0126,1.5557,0.031,"(1, 2, 8)",wrist,3
Least Angle Regression,6199.4157,656098399.8897,8215.2282,-109144046.1997,2.8979,3107.2977,0.029,"(1, 2, 8)",wrist,3
Extra Trees Regressor,1.4275,3.5992,1.8954,0.4091,0.5858,0.4691,0.092,"(1, 2, 9)",wrist,3
Random Forest Regressor,1.4512,3.7069,1.9224,0.3924,0.5879,0.4845,0.192,"(1, 2, 9)",wrist,3
Light Gradient Boosting Machine,1.4906,3.9963,1.9949,0.3447,0.5963,0.5236,0.062,"(1, 2, 9)",wrist,3
Gradient Boosting Regressor,1.5894,4.1815,2.0419,0.3139,0.6202,0.5466,0.116,"(1, 2, 9)",wrist,3
Linear Regression,1.7591,4.9733,2.2267,0.186,0.6671,0.6245,0.033,"(1, 2, 9)",wrist,3
Decision Tree Regressor,1.8565,7.438,2.7214,-0.2167,0.795,0.6963,0.033,"(1, 2, 9)",wrist,3
Ridge Regression,1.8811,5.3815,2.3152,0.1196,0.6997,0.6734,0.03,"(1, 2, 9)",wrist,3
Huber Regressor,1.8873,5.739,2.388,0.0635,0.7002,0.6302,0.033,"(1, 2, 9)",wrist,3
Bayesian Ridge,1.9103,5.4892,2.3376,0.1026,0.7084,0.6863,0.03,"(1, 2, 9)",wrist,3
Lasso Least Angle Regression,2.0152,5.9019,2.4265,0.0327,0.7342,0.7175,0.032,"(1, 2, 9)",wrist,3
Lasso Regression,2.0152,5.9019,2.4265,0.0327,0.7342,0.7175,0.027,"(1, 2, 9)",wrist,3
Elastic Net,2.0157,5.8992,2.4259,0.033,0.7343,0.7182,0.032,"(1, 2, 9)",wrist,3
AdaBoost Regressor,2.0158,5.5118,2.3447,0.0953,0.7519,0.8198,0.055,"(1, 2, 9)",wrist,3
