Subject,Sensor,Best Model,Min MAE,Median MAE,Max MAE,Other Participants
1,trunk,Extra Trees Regressor,1.2416,1.964400053024292,8.5331,"(9, 3)"
1,upperarm,Extra Trees Regressor,1.2009,1.9663000106811523,5.6142,"(2, 3)"
1,wrist,K Neighbors Regressor,0.2345,1.9015499999999999,5.9228,"(16, 3)"
2,trunk,Extra Trees Regressor,1.1799,1.8912,7.6452,"(9, 13)"
2,upperarm,Extra Trees Regressor,1.0942,1.8911999464035036,6.9438,"(9, 3)"
2,wrist,K Neighbors Regressor,0.2248,1.8374,5.4681,"(3, 13)"
3,trunk,Extra Trees Regressor,1.1481,1.8208999633789065,7.1439,"(9, 15)"
3,upperarm,Extra Trees Regressor,1.0942,1.8269,5.97,"(9, 2)"
3,wrist,K Neighbors Regressor,0.2173,1.731,6.3229,"(16, 12)"
4,trunk,Extra Trees Regressor,1.22,1.9527000188827517,6.6321,"(3, 13)"
4,upperarm,Extra Trees Regressor,1.2153,1.9567999839782717,6.2968,"(2, 6)"
4,wrist,K Neighbors Regressor,0.2044,1.8733,4.8814,"(13, 15)"
5,trunk,Extra Trees Regressor,1.2168,1.9416,8.5331,"(13, 15)"
5,upperarm,Extra Trees Regressor,1.1423,1.9321000576019287,5.4276,"(6, 15)"
5,wrist,K Neighbors Regressor,0.2384,1.8609,6.1401,"(3, 13)"
6,trunk,Extra Trees Regressor,1.1173,1.848,6.2584,"(9, 13)"
6,upperarm,Extra Trees Regressor,1.1362,1.8482999801635744,5.6604,"(13, 15)"
6,wrist,K Neighbors Regressor,0.2071,1.7837,6.2773,"(16, 13)"
8,trunk,Extra Trees Regressor,1.2648,1.9457,5.8898,"(3, 13)"
8,upperarm,Extra Trees Regressor,1.2391,1.9318,6.2968,"(3, 5)"
8,wrist,K Neighbors Regressor,0.2133,1.8539,6.3229,"(13, 6)"
9,trunk,Extra Trees Regressor,1.1173,1.8477,7.4554,"(13, 6)"
9,upperarm,Extra Trees Regressor,1.0942,1.867900013923645,6.2968,"(2, 3)"
9,wrist,K Neighbors Regressor,0.22,1.77345,6.302,"(10, 13)"
10,trunk,Extra Trees Regressor,1.2237,1.9462000131607056,7.1196,"(9, 3)"
10,upperarm,Extra Trees Regressor,1.2099,1.9821,6.9438,"(3, 13)"
10,wrist,K Neighbors Regressor,0.22,1.8925,5.9759,"(9, 13)"
12,trunk,Extra Trees Regressor,1.1811,1.9479999542236328,6.3457,"(9, 15)"
12,upperarm,Extra Trees Regressor,1.1638,1.9277000427246092,5.7679,"(2, 3)"
12,wrist,K Neighbors Regressor,0.2173,1.853,5.1542,"(16, 3)"
13,trunk,Extra Trees Regressor,1.1173,1.8623,8.5331,"(9, 6)"
13,upperarm,Extra Trees Regressor,1.1066,1.8733999729156492,6.9438,"(9, 3)"
13,wrist,K Neighbors Regressor,0.2044,1.7731,6.3229,"(4, 15)"
15,trunk,Extra Trees Regressor,1.1431,1.8834999799728396,5.2524,"(9, 13)"
15,upperarm,Extra Trees Regressor,1.0983,1.885200023651123,5.7679,"(9, 3)"
15,wrist,K Neighbors Regressor,0.2044,1.7876,4.3305,"(4, 13)"
16,trunk,Extra Trees Regressor,1.1524,1.8662999868392944,7.6452,"(9, 15)"
16,upperarm,Extra Trees Regressor,1.1409,1.8645,5.97,"(3, 15)"
16,wrist,K Neighbors Regressor,0.2071,1.7907,5.4725,"(13, 6)"
17,trunk,Extra Trees Regressor,1.2111,1.9557,7.4554,"(9, 13)"
17,upperarm,Extra Trees Regressor,1.166,1.9521,6.0909,"(16, 3)"
17,wrist,K Neighbors Regressor,0.2139,1.8780000000000001,5.9759,"(13, 6)"
