,Best Model,Min MAE,Median MAE,Max MAE
1,K Neighbors Regressor,0.0941,0.583,0.8824
2,K Neighbors Regressor,0.2507,1.4755,2.1771
3,K Neighbors Regressor,0.3917,1.519,5.2291
4,K Neighbors Regressor,0.1378,0.9118,3.1229
5,K Neighbors Regressor,0.0667,0.3779,0.6084
6,K Neighbors Regressor,0.67,2.9435,8.6839
8,AdaBoost Regressor,0.0612,0.2324,1.6514
9,K Neighbors Regressor,0.2088,1.3713,3.1823
10,K Neighbors Regressor,0.2317,0.9176,2.0907
12,K Neighbors Regressor,0.2436,1.175,1.851
13,K Neighbors Regressor,0.5842,2.0572,2.7368
15,K Neighbors Regressor,0.2706,1.5459,2.5441
16,K Neighbors Regressor,0.3867,2.2811,5.8849
17,K Neighbors Regressor,0.2269,0.904,2.35
