Model,Feature,Min,25q,Median,75q,Max,Mean
DecisionTreeRegressor,trunk_acc_med,0.0,0.0,0.01328531814180085,0.12880463422339525,0.5121951219512196,0.08139679446412053
DecisionTreeRegressor,wrist_acc_rms,0.0,0.0,0.0,0.0,0.3923751942686025,0.05792220657228336
DecisionTreeRegressor,wrist_jerk_med,0.0,0.0,0.00389138039529315,0.022415856199981377,0.5094760329856632,0.05451233280440237
ExtraTreesRegressor,trunk_acc_med,0.0116760759443074,0.016922424002809525,0.0265886133828198,0.03781665452691475,0.1131616893814809,0.03486747079423686
ExtraTreesRegressor,trunk_acc_mean,0.0075323661979866,0.01630352936986515,0.02585329372995,0.034618379926161826,0.1318845633870608,0.03383436602989719
ExtraTreesRegressor,weight,0.0,0.0,0.00076800090315055,0.00777548345593865,0.2876784228381233,0.03095317913570881
GradientBoostingRegressor,trunk_acc_med,0.0008333906724397,0.0057271194313408,0.044903707256806105,0.0815410212266698,0.57980952316279,0.08322538667164614
GradientBoostingRegressor,trunk_acc_mean,3.9707498859120575e-05,0.003236389399190725,0.02068937981440845,0.06185088196062525,0.2279531948105359,0.05081068096980381
GradientBoostingRegressor,wrist_jerk_med,1.2877646470207817e-06,0.000229979823528425,0.0046543221039136995,0.016528769150227576,0.4998759101089806,0.04706171921951135
RandomForestRegressor,trunk_acc_med,0.0113469723673214,0.01980882377266665,0.031394773911233895,0.057584753037404124,0.2975933505515706,0.05381463499602878
RandomForestRegressor,wrist_acc_med,0.0015253245423723,0.018069237401396123,0.0258127767627949,0.051402066161333575,0.1945551235495864,0.045072324345900715
RandomForestRegressor,trunk_acc_perc75,0.0030729041101039,0.008759848850674126,0.0127357193173669,0.0264628797024159,0.3799161619208807,0.044886802685602925
