Model,Feature,Min,25q,Median,75q,Max,Mean
DecisionTreeRegressor,wrist_acc_time,0.1197593081382514,0.24349566156534402,0.2955595343930625,0.36634930214055683,0.5489578405901407,0.3086590151772103
DecisionTreeRegressor,trunk_acc_mean,0.0011054250707633,0.014361487428472949,0.02821147229319395,0.046896048516711725,0.2252190497866551,0.035216448605735126
DecisionTreeRegressor,upperarm_acc_perc25,0.0004058123656966,0.011875370057160975,0.02691750169124375,0.0576975152519406,0.1537788141681846,0.03847139415069304
ExtraTreesRegressor,wrist_acc_time,0.0683072790100648,0.1005741636404984,0.11603613309027955,0.12933454305264275,0.2029950762378361,0.11656218129253536
ExtraTreesRegressor,weight,0.0108191320155899,0.028461541103736124,0.035851704662623954,0.04151503232063295,0.0611756690948327,0.035218078164427624
ExtraTreesRegressor,trunk_acc_mean,0.0194390425075335,0.028378675641286225,0.03165945361731835,0.035315988960064076,0.0497591521597263,0.032068305511708944
GradientBoostingRegressor,wrist_acc_time,0.1815131935845705,0.2699178112206491,0.31352927088758775,0.3546774354366322,0.4475059334271085,0.3124299911339739
GradientBoostingRegressor,upperarm_acc_perc25,0.0018316354160528,0.02689440477120755,0.039946071066759445,0.061332090545946974,0.145005902646295,0.046196441035475024
GradientBoostingRegressor,trunk_acc_mean,0.0061253110964202,0.024571834941173203,0.03514281548582705,0.049686745213757974,0.1070146461220332,0.03861219625236939
RandomForestRegressor,wrist_acc_time,0.110906671226433,0.18010183110236108,0.21169260127885364,0.26127902615383636,0.4233895735479419,0.22439677672518782
RandomForestRegressor,upperarm_acc_perc25,0.0090479676119802,0.02351479142667445,0.0344125150652604,0.053146695910171925,0.1455820124604594,0.041638306906259505
RandomForestRegressor,trunk_acc_mean,0.0119719155957065,0.023199959920094576,0.02797126400536165,0.035080379445811126,0.0840287288601689,0.030493292079603912
