Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
K Neighbors Regressor,0.2902,0.2944,0.5325,0.9484,0.1937,0.1072,0.023,"(1, 2, 3)"
Random Forest Regressor,0.857,1.6551,1.2826,0.7099,0.4356,0.2543,0.547,"(1, 2, 3)"
Decision Tree Regressor,0.8611,2.8406,1.6781,0.5024,0.5384,0.3001,0.024,"(1, 2, 3)"
Light Gradient Boosting Machine,0.9575,1.9522,1.3934,0.6566,0.4653,0.3127,0.148,"(1, 2, 3)"
Extra Trees Regressor,0.9735,1.9151,1.3804,0.664,0.4668,0.3013,0.189,"(1, 2, 3)"
Gradient Boosting Regressor,1.1987,2.6002,1.6094,0.5435,0.5384,0.3717,0.474,"(1, 2, 3)"
Linear Regression,1.5864,4.1861,2.044,0.2661,0.6428,0.5466,0.769,"(1, 2, 3)"
Ridge Regression,1.6931,4.5726,2.1363,0.1983,0.6686,0.5732,0.017,"(1, 2, 3)"
Bayesian Ridge,1.7097,4.6292,2.1494,0.1886,0.6715,0.5765,0.02,"(1, 2, 3)"
AdaBoost Regressor,1.749,4.4201,2.1013,0.2237,0.7044,0.6587,0.141,"(1, 2, 3)"
Orthogonal Matching Pursuit,1.8755,5.2535,2.2903,0.0782,0.7089,0.6483,0.016,"(1, 2, 3)"
Elastic Net,1.8847,5.2783,2.2958,0.0742,0.7135,0.6477,0.016,"(1, 2, 3)"
Lasso Regression,1.8975,5.3419,2.3097,0.0634,0.7193,0.6497,0.017,"(1, 2, 3)"
Lasso Least Angle Regression,1.8975,5.3419,2.3097,0.0634,0.7193,0.6497,0.018,"(1, 2, 3)"
Huber Regressor,1.9437,5.9084,2.4271,-0.0321,0.7106,0.6043,0.02,"(1, 2, 3)"
Dummy Regressor,1.9956,5.7425,2.3941,-0.0048,0.739,0.7183,0.017,"(1, 2, 3)"
Passive Aggressive Regressor,2.5288,10.5124,3.2028,-0.8583,1.0364,0.9966,0.019,"(1, 2, 3)"
Least Angle Regression,1828.5812,28036449.7219,2840.3162,-5238527.7315,4.3466,925.394,0.019,"(1, 2, 3)"
K Neighbors Regressor,0.3335,0.3468,0.5806,0.9472,0.2174,0.1159,0.019,"(1, 2, 4)"
Decision Tree Regressor,0.9426,3.0804,1.741,0.5286,0.5278,0.3223,0.028,"(1, 2, 4)"
Random Forest Regressor,0.9661,1.8988,1.3721,0.7102,0.4581,0.2897,0.583,"(1, 2, 4)"
Light Gradient Boosting Machine,1.029,2.0699,1.4333,0.6838,0.472,0.3213,0.146,"(1, 2, 4)"
Extra Trees Regressor,1.0749,2.1595,1.4669,0.6698,0.4833,0.3303,0.194,"(1, 2, 4)"
Gradient Boosting Regressor,1.2823,2.8486,1.6862,0.5647,0.5522,0.398,0.478,"(1, 2, 4)"
Linear Regression,1.7197,4.8134,2.1913,0.263,0.6546,0.5676,0.019,"(1, 2, 4)"
Ridge Regression,1.8351,5.1889,2.2764,0.2051,0.6816,0.606,0.018,"(1, 2, 4)"
Bayesian Ridge,1.8459,5.2173,2.2827,0.2009,0.6844,0.6101,0.019,"(1, 2, 4)"
AdaBoost Regressor,1.8786,5.0013,2.235,0.2347,0.7116,0.6588,0.146,"(1, 2, 4)"
Orthogonal Matching Pursuit,2.0535,6.0949,2.4674,0.0684,0.7326,0.6987,0.018,"(1, 2, 4)"
Elastic Net,2.0668,6.1193,2.4725,0.0645,0.7376,0.7009,0.017,"(1, 2, 4)"
Lasso Regression,2.0836,6.1821,2.4852,0.0548,0.7436,0.7058,0.019,"(1, 2, 4)"
Lasso Least Angle Regression,2.0836,6.1821,2.4852,0.0548,0.7436,0.7058,0.02,"(1, 2, 4)"
Huber Regressor,2.1194,6.7064,2.5886,-0.0261,0.7394,0.6469,0.021,"(1, 2, 4)"
