Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Extra Trees Regressor,1.1444,2.425,1.5489,0.5666,0.5065,0.3708,0.138,"(1, 2, 3)"
Light Gradient Boosting Machine,1.203,2.7043,1.6362,0.5142,0.5293,0.4109,0.089,"(1, 2, 3)"
Random Forest Regressor,1.2489,2.7952,1.6659,0.5009,0.5407,0.4017,0.409,"(1, 2, 3)"
Gradient Boosting Regressor,1.3631,3.2713,1.8039,0.4154,0.579,0.4441,0.253,"(1, 2, 3)"
Decision Tree Regressor,1.5814,5.9711,2.4366,-0.0812,0.7377,0.5636,0.024,"(1, 2, 3)"
Linear Regression,1.6011,4.2917,2.066,0.238,0.6452,0.5525,0.67,"(1, 2, 3)"
Ridge Regression,1.707,4.6389,2.1496,0.174,0.6705,0.5891,0.021,"(1, 2, 3)"
Bayesian Ridge,1.7154,4.6621,2.1553,0.17,0.6718,0.5908,0.018,"(1, 2, 3)"
Huber Regressor,1.8313,5.4152,2.324,0.0383,0.6864,0.5945,0.023,"(1, 2, 3)"
AdaBoost Regressor,1.8404,4.7456,2.1761,0.1536,0.7265,0.719,0.098,"(1, 2, 3)"
K Neighbors Regressor,1.8796,5.6411,2.3722,-0.0049,0.7171,0.6773,0.021,"(1, 2, 3)"
Orthogonal Matching Pursuit,1.9016,5.3213,2.3045,0.0542,0.7094,0.6899,0.016,"(1, 2, 3)"
Elastic Net,1.9309,5.4331,2.3286,0.035,0.7227,0.6923,0.018,"(1, 2, 3)"
Lasso Regression,1.9466,5.4957,2.342,0.0241,0.7288,0.6967,0.237,"(1, 2, 3)"
Lasso Least Angle Regression,1.9466,5.4957,2.342,0.0241,0.7288,0.6967,0.016,"(1, 2, 3)"
Dummy Regressor,2.0013,5.7192,2.3887,-0.0145,0.7413,0.7247,0.018,"(1, 2, 3)"
Passive Aggressive Regressor,3.7354,22.5444,4.5015,-3.2412,1.1237,1.8003,0.016,"(1, 2, 3)"
Least Angle Regression,1.12071301679554e+143,2.072756099741403e+287,1.43970694925787e+143,-3.412273663307887e+286,39.741,4.699415125979612e+142,0.024,"(1, 2, 3)"
Extra Trees Regressor,1.2449,2.8376,1.6806,0.5675,0.5271,0.388,0.14,"(1, 2, 4)"
Light Gradient Boosting Machine,1.3231,3.1566,1.7714,0.5166,0.5444,0.4368,0.088,"(1, 2, 4)"
Random Forest Regressor,1.3846,3.3379,1.8232,0.489,0.5691,0.4388,0.415,"(1, 2, 4)"
Gradient Boosting Regressor,1.4831,3.68,1.9139,0.438,0.5895,0.4837,0.253,"(1, 2, 4)"
Decision Tree Regressor,1.7156,6.6497,2.5737,-0.0285,0.7576,0.5956,0.027,"(1, 2, 4)"
Linear Regression,1.7442,4.9327,2.2172,0.2468,0.6609,0.5796,0.017,"(1, 2, 4)"
Ridge Regression,1.8626,5.3602,2.3094,0.186,0.6892,0.6167,0.016,"(1, 2, 4)"
Bayesian Ridge,1.8765,5.3908,2.3162,0.1814,0.6921,0.6215,0.018,"(1, 2, 4)"
Huber Regressor,2.0073,6.2359,2.4906,0.0528,0.7124,0.6284,0.024,"(1, 2, 4)"
AdaBoost Regressor,2.0234,5.6843,2.3809,0.1332,0.7564,0.7555,0.103,"(1, 2, 4)"
Orthogonal Matching Pursuit,2.0505,6.1296,2.4709,0.0682,0.7316,0.6909,0.019,"(1, 2, 4)"
Elastic Net,2.0853,6.2293,2.4916,0.0523,0.7443,0.7049,0.017,"(1, 2, 4)"
Lasso Regression,2.1029,6.2989,2.5053,0.0421,0.7503,0.7114,0.017,"(1, 2, 4)"
Lasso Least Angle Regression,2.1029,6.2989,2.5053,0.0421,0.7503,0.7114,0.017,"(1, 2, 4)"
K Neighbors Regressor,2.1549,7.0295,2.6476,-0.0729,0.7699,0.7384,0.021,"(1, 2, 4)"
Dummy Regressor,2.1584,6.6488,2.5739,-0.0109,0.765,0.7426,0.018,"(1, 2, 4)"
Passive Aggressive Regressor,3.4681,19.2664,4.1616,-2.1075,0.9929,1.5901,0.018,"(1, 2, 4)"
Least Angle Regression,1098.4924,8434083.5647,1439.4796,-1152970.7749,3.2483,489.3329,0.021,"(1, 2, 4)"
Extra Trees Regressor,1.2503,2.7939,1.6678,0.5455,0.5276,0.3887,0.139,"(1, 2, 5)"
Light Gradient Boosting Machine,1.3116,3.0987,1.7552,0.4955,0.5418,0.4145,0.087,"(1, 2, 5)"
Random Forest Regressor,1.3836,3.302,1.8135,0.4633,0.5665,0.4209,0.404,"(1, 2, 5)"
Gradient Boosting Regressor,1.5003,3.7701,1.9378,0.3874,0.5981,0.4725,0.255,"(1, 2, 5)"
Decision Tree Regressor,1.735,6.6091,2.5552,-0.0767,0.7506,0.6132,0.025,"(1, 2, 5)"
Linear Regression,1.7488,4.8331,2.1934,0.2166,0.6539,0.5767,0.023,"(1, 2, 5)"
Ridge Regression,1.8607,5.2913,2.2969,0.1418,0.6871,0.6056,0.02,"(1, 2, 5)"
Bayesian Ridge,1.8837,5.3789,2.3158,0.1273,0.6916,0.6173,0.021,"(1, 2, 5)"
AdaBoost Regressor,1.9076,5.205,2.2784,0.1538,0.7058,0.6815,0.095,"(1, 2, 5)"
Huber Regressor,1.9233,5.7485,2.3934,0.0683,0.6884,0.6022,0.023,"(1, 2, 5)"
Orthogonal Matching Pursuit,2.0205,5.9319,2.4334,0.0355,0.7214,0.6904,0.02,"(1, 2, 5)"
Elastic Net,2.0502,6.069,2.4607,0.0143,0.7245,0.7054,0.02,"(1, 2, 5)"
Lasso Regression,2.0503,6.0704,2.461,0.0141,0.7244,0.7049,0.018,"(1, 2, 5)"
Lasso Least Angle Regression,2.0503,6.0704,2.461,0.0141,0.7244,0.7049,0.019,"(1, 2, 5)"
K Neighbors Regressor,2.0815,6.7066,2.5847,-0.0894,0.7392,0.7081,0.021,"(1, 2, 5)"
Dummy Regressor,2.0835,6.214,2.4897,-0.0083,0.729,0.7261,0.021,"(1, 2, 5)"
Passive Aggressive Regressor,3.9,24.4955,4.7079,-2.8952,1.0344,1.8262,0.021,"(1, 2, 5)"
Least Angle Regression,1184283.0566,12631878054492.904,1800416.5635,-2311538907836.2915,8.0666,543276.0384,0.018,"(1, 2, 5)"
Extra Trees Regressor,1.1322,2.3139,1.5182,0.5979,0.5006,0.3778,0.14,"(1, 2, 6)"
Light Gradient Boosting Machine,1.19,2.5951,1.6081,0.5472,0.5193,0.4035,0.092,"(1, 2, 6)"
Random Forest Regressor,1.2366,2.7304,1.6495,0.5256,0.5322,0.411,0.436,"(1, 2, 6)"
Gradient Boosting Regressor,1.334,3.0146,1.7343,0.4737,0.5615,0.4493,0.271,"(1, 2, 6)"
Decision Tree Regressor,1.5903,5.7626,2.3935,0.0005,0.7236,0.586,0.03,"(1, 2, 6)"
Linear Regression,1.6223,4.277,2.064,0.2556,0.642,0.579,0.022,"(1, 2, 6)"
Ridge Regression,1.7282,4.6482,2.1528,0.1916,0.6694,0.6078,0.022,"(1, 2, 6)"
Bayesian Ridge,1.7364,4.6675,2.1571,0.1887,0.6704,0.611,0.024,"(1, 2, 6)"
Huber Regressor,1.8258,5.1911,2.2742,0.0979,0.6799,0.616,0.029,"(1, 2, 6)"
AdaBoost Regressor,1.8684,4.8033,2.1903,0.1608,0.7206,0.7323,0.106,"(1, 2, 6)"
Orthogonal Matching Pursuit,1.922,5.3904,2.3176,0.0639,0.7117,0.6948,0.024,"(1, 2, 6)"
Elastic Net,1.9559,5.4916,2.3389,0.0474,0.7198,0.7115,0.029,"(1, 2, 6)"
Lasso Regression,1.9725,5.5604,2.3535,0.0356,0.7263,0.715,0.025,"(1, 2, 6)"
Lasso Least Angle Regression,1.9725,5.5604,2.3534,0.0356,0.7263,0.715,0.024,"(1, 2, 6)"
K Neighbors Regressor,1.9998,6.2483,2.4965,-0.0897,0.753,0.7233,0.028,"(1, 2, 6)"
Dummy Regressor,2.0265,5.7844,2.4004,-0.003,0.7394,0.7419,0.031,"(1, 2, 6)"
Passive Aggressive Regressor,2.5066,10.5344,3.2327,-0.861,0.8981,0.8787,0.024,"(1, 2, 6)"
Least Angle Regression,4799.3733,463461837.9375,8356.2787,-69168699.3026,3.1732,2147.1206,0.028,"(1, 2, 6)"
Extra Trees Regressor,1.2307,2.7091,1.6404,0.5488,0.5243,0.3916,0.146,"(1, 2, 8)"
Light Gradient Boosting Machine,1.3014,3.0765,1.747,0.4886,0.5466,0.4307,0.1,"(1, 2, 8)"
Random Forest Regressor,1.3306,3.0805,1.7492,0.4875,0.5543,0.4235,0.437,"(1, 2, 8)"
Gradient Boosting Regressor,1.47,3.65,1.9041,0.3928,0.5956,0.471,0.269,"(1, 2, 8)"
Decision Tree Regressor,1.6904,6.5439,2.5514,-0.0946,0.7484,0.5966,0.037,"(1, 2, 8)"
Linear Regression,1.7187,4.7437,2.1705,0.2102,0.6533,0.5799,0.027,"(1, 2, 8)"
Ridge Regression,1.8231,5.1016,2.2518,0.1504,0.6829,0.608,0.031,"(1, 2, 8)"
Bayesian Ridge,1.8328,5.1217,2.2563,0.1472,0.6859,0.611,0.033,"(1, 2, 8)"
Huber Regressor,1.8961,5.5633,2.35,0.0742,0.6941,0.6046,0.032,"(1, 2, 8)"
AdaBoost Regressor,1.9281,5.2492,2.2878,0.1219,0.7346,0.6949,0.094,"(1, 2, 8)"
Orthogonal Matching Pursuit,1.955,5.608,2.3629,0.0642,0.7193,0.651,0.031,"(1, 2, 8)"
Elastic Net,1.9696,5.658,2.3739,0.0558,0.7227,0.66,0.029,"(1, 2, 8)"
Lasso Regression,1.9884,5.73,2.3892,0.0436,0.7292,0.6649,0.028,"(1, 2, 8)"
Lasso Least Angle Regression,1.9884,5.73,2.3892,0.0436,0.7292,0.6649,0.026,"(1, 2, 8)"
K Neighbors Regressor,2.0229,6.4424,2.5347,-0.0785,0.7447,0.6941,0.028,"(1, 2, 8)"
Dummy Regressor,2.0406,6.0614,2.4571,-0.0107,0.7448,0.6932,0.028,"(1, 2, 8)"
Passive Aggressive Regressor,3.3464,19.6942,4.0129,-2.2638,0.9532,1.3891,0.028,"(1, 2, 8)"
Least Angle Regression,101053.3016,48804417952.7348,151485.9819,-7764738064.3144,6.963,43660.2394,0.028,"(1, 2, 8)"
Extra Trees Regressor,1.1677,2.5736,1.6011,0.5661,0.5087,0.382,0.138,"(1, 2, 9)"
Light Gradient Boosting Machine,1.2236,2.8504,1.6849,0.5187,0.5263,0.4209,0.099,"(1, 2, 9)"
Random Forest Regressor,1.274,2.9958,1.7275,0.4942,0.5385,0.4112,0.385,"(1, 2, 9)"
