Feature,Value,Model,Subject
error,0,KNeighborsRegressor(n_jobs=-1),1
wrist_acc_time,0.4992020481596848,DecisionTreeRegressor(random_state=7337),1
trunk_acc_med,0.355584741376808,DecisionTreeRegressor(random_state=7337),1
wrist_acc_std,0.0348724126919615,DecisionTreeRegressor(random_state=7337),1
wrist_acc_mean,0.03188068451226346,DecisionTreeRegressor(random_state=7337),1
wrist_jerk_med,0.019465448828329714,DecisionTreeRegressor(random_state=7337),1
wrist_acc_length,0.017175396024996785,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_perc25,0.01019789138984186,DecisionTreeRegressor(random_state=7337),1
wrist_acc_med,0.00880579827948249,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_min,0.007448237711395611,DecisionTreeRegressor(random_state=7337),1
trunk_acc_mad,0.005778805120910384,DecisionTreeRegressor(random_state=7337),1
wrist_acc_mad,0.005479163373900215,DecisionTreeRegressor(random_state=7337),1
wrist_jerk_std,0.004109372530425155,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_perc75,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_mean,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_max,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_mad,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_std,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_min,0.0,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_perc25,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_rms,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_mean,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_med,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_acc_perc75,0.0,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_max,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_rms,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_mad,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_std,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_max,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_med,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_perc25,0.0,DecisionTreeRegressor(random_state=7337),1
upperarm_jerk_perc75,0.0,DecisionTreeRegressor(random_state=7337),1
weight,0.0,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_med,0.0,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_mean,0.0,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_min,0.0,DecisionTreeRegressor(random_state=7337),1
trunk_jerk_std,0.0,DecisionTreeRegressor(random_state=7337),1
wrist_acc_rms,0.0,DecisionTreeRegressor(random_state=7337),1
wrist_acc_min,0.0,DecisionTreeRegressor(random_state=7337),1
wrist_acc_max,0.0,DecisionTreeRegressor(random_state=7337),1
