Feature,Value,Model,Subject,Sensor
error,0,KNeighborsRegressor(n_jobs=-1),1,wrist
wrist_acc_time,0.8806278831994414,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_std,0.07087121762132154,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_length,0.03650824162263912,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_min,0.006118702834998982,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_perc25,0.0031817254741994703,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_med,0.0026922292473995084,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_rms,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_perc25,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_med,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_max,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_std,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_mad,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_perc75,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_mean,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_max,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_min,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_mad,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_rms,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_mean,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_jerk_perc75,0.0,DecisionTreeRegressor(random_state=8944),1,wrist
wrist_acc_time,0.856926271101027,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_std,0.05749649622896639,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_mad,0.032444836202103755,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_length,0.01627646462002364,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_perc75,0.008311459639618666,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_max,0.00441641586511475,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_rms,0.004410778047039933,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_med,0.003968802046235534,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_mean,0.0037238314010057164,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_mean,0.0023132815501404657,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_min,0.0018386406687081272,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_mad,0.0017438477514594248,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_perc25,0.0014457258288663006,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_med,0.0013030610333764443,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_perc75,0.0009161630440037687,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_min,0.0007174816448041528,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_max,0.000563549879885875,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_perc25,0.0005551794390098232,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_std,0.00035486569651019674,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_jerk_rms,0.000272848312099787,GradientBoostingRegressor(random_state=8944),1,wrist
wrist_acc_time,0.7769639361329513,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_std,0.04290967115665306,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_length,0.04158910345858947,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_mad,0.032516676187428116,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_med,0.022009333406612392,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_perc25,0.015607386322835272,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_perc75,0.010950824137242455,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_min,0.007430504209888565,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_mean,0.007148377935636827,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_min,0.006380820872318849,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_med,0.006162189509603002,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
