Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.8381,2.4875,1.5672,0.5622,0.517,0.3003,3.323,"(1, 2, 3)"
Random Forest Regressor,0.8403,1.6038,1.2647,0.7172,0.4311,0.2617,4.145,"(1, 2, 3)"
Gradient Boosting Regressor,1.1764,2.5214,1.5853,0.5545,0.5275,0.384,3.745,"(1, 2, 3)"
Random Forest Regressor,0.9636,1.9226,1.3835,0.7074,0.4545,0.2831,3.903,"(1, 2, 4)"
Decision Tree Regressor,0.9643,3.1402,1.7458,0.524,0.5439,0.3389,2.972,"(1, 2, 4)"
Gradient Boosting Regressor,1.2819,2.9348,1.7102,0.5544,0.5486,0.3816,3.842,"(1, 2, 4)"
Random Forest Regressor,0.9566,1.8465,1.3483,0.7055,0.4505,0.2853,3.646,"(1, 2, 5)"
Decision Tree Regressor,1.0208,3.3811,1.8239,0.4592,0.5662,0.3329,3.343,"(1, 2, 5)"
Gradient Boosting Regressor,1.3083,2.9679,1.7127,0.5276,0.5471,0.4004,3.676,"(1, 2, 5)"
Random Forest Regressor,0.9091,1.7063,1.3022,0.7088,0.4437,0.2922,3.967,"(1, 2, 6)"
Decision Tree Regressor,0.9763,3.2381,1.7891,0.4463,0.5662,0.3581,3.353,"(1, 2, 6)"
Gradient Boosting Regressor,1.2592,2.6996,1.64,0.5377,0.549,0.4187,3.74,"(1, 2, 6)"
Random Forest Regressor,0.9798,1.8731,1.3661,0.7048,0.4672,0.3065,3.971,"(1, 2, 8)"
Decision Tree Regressor,1.0668,3.6342,1.8929,0.4277,0.5917,0.3922,3.345,"(1, 2, 8)"
Gradient Boosting Regressor,1.3062,2.8763,1.6946,0.5466,0.56,0.4208,3.725,"(1, 2, 8)"
Random Forest Regressor,0.9477,1.8928,1.3699,0.6942,0.4495,0.295,4.002,"(1, 2, 9)"
Decision Tree Regressor,1.0053,3.2377,1.7847,0.4734,0.5525,0.3616,3.356,"(1, 2, 9)"
Gradient Boosting Regressor,1.2223,2.7061,1.638,0.5621,0.5307,0.4049,3.664,"(1, 2, 9)"
Random Forest Regressor,1.158,2.5409,1.5919,0.6269,0.5125,0.3276,3.984,"(1, 2, 10)"
Decision Tree Regressor,1.2594,4.6608,2.1358,0.3129,0.6365,0.3947,3.364,"(1, 2, 10)"
Gradient Boosting Regressor,1.3296,3.0659,1.7469,0.5496,0.5674,0.3934,3.7,"(1, 2, 10)"
Random Forest Regressor,0.8838,1.6653,1.2805,0.7457,0.4324,0.281,4.052,"(1, 2, 12)"
Decision Tree Regressor,0.9056,2.8773,1.6795,0.5579,0.5206,0.3303,3.39,"(1, 2, 12)"
Gradient Boosting Regressor,1.2305,2.6281,1.6175,0.5958,0.5373,0.4059,3.732,"(1, 2, 12)"
Random Forest Regressor,0.7997,1.4228,1.1844,0.7612,0.4135,0.2615,4.005,"(1, 2, 13)"
Decision Tree Regressor,0.8528,2.4887,1.5583,0.5829,0.5107,0.3173,3.395,"(1, 2, 13)"
Gradient Boosting Regressor,1.1779,2.4783,1.5705,0.5812,0.5294,0.3891,3.754,"(1, 2, 13)"
Decision Tree Regressor,0.9145,3.2953,1.7858,0.4747,0.5253,0.3086,3.393,"(1, 2, 15)"
Random Forest Regressor,0.9166,1.7643,1.325,0.725,0.4501,0.2642,4.002,"(1, 2, 15)"
Gradient Boosting Regressor,1.1903,2.554,1.5956,0.6023,0.5288,0.366,3.712,"(1, 2, 15)"
Random Forest Regressor,0.9453,1.7097,1.3037,0.7146,0.4461,0.3036,4.047,"(1, 2, 16)"
Decision Tree Regressor,1.1173,3.8712,1.9432,0.3554,0.6044,0.4117,3.4,"(1, 2, 16)"
Gradient Boosting Regressor,1.1605,2.3308,1.5236,0.6108,0.5155,0.3862,3.769,"(1, 2, 16)"
Random Forest Regressor,0.8684,1.6182,1.2667,0.7541,0.4259,0.2657,3.979,"(1, 2, 17)"
Decision Tree Regressor,1.0124,3.4067,1.8351,0.4786,0.5651,0.3466,3.408,"(1, 2, 17)"
Gradient Boosting Regressor,1.2129,2.5292,1.5873,0.6143,0.5246,0.3884,3.749,"(1, 2, 17)"
Random Forest Regressor,0.931,1.805,1.342,0.6922,0.4491,0.2709,3.872,"(1, 3, 4)"
Decision Tree Regressor,0.9371,3.0186,1.7322,0.4847,0.5413,0.3202,3.423,"(1, 3, 4)"
Gradient Boosting Regressor,1.2371,2.7557,1.6577,0.5301,0.5416,0.3675,3.756,"(1, 3, 4)"
Random Forest Regressor,1.0314,2.0618,1.4321,0.6401,0.4818,0.2874,4.117,"(1, 3, 5)"
Decision Tree Regressor,1.0675,3.392,1.8211,0.4058,0.5669,0.3471,3.42,"(1, 3, 5)"
Gradient Boosting Regressor,1.307,2.9546,1.716,0.4852,0.5575,0.3904,3.81,"(1, 3, 5)"
Random Forest Regressor,0.8446,1.488,1.2176,0.7135,0.4204,0.2602,4.017,"(1, 3, 6)"
Decision Tree Regressor,0.9486,2.9875,1.7161,0.4242,0.5464,0.3305,3.43,"(1, 3, 6)"
