Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9366,3.024,1.7307,0.514,0.5227,0.3237,7.598,"(1,)"
Decision Tree Regressor,1.1553,4.3258,2.0671,0.2717,0.6285,0.4299,6.729,"(2,)"
Decision Tree Regressor,0.8729,2.6601,1.6265,0.5134,0.521,0.3253,6.76,"(3,)"
Decision Tree Regressor,0.9323,2.894,1.6836,0.5392,0.5377,0.3324,6.817,"(4,)"
Decision Tree Regressor,1.0802,3.7064,1.9085,0.3805,0.5937,0.3984,6.891,"(5,)"
Decision Tree Regressor,0.867,2.666,1.6157,0.5283,0.5106,0.3326,6.49,"(6,)"
Decision Tree Regressor,0.9987,3.1369,1.7552,0.4679,0.5571,0.3698,6.503,"(8,)"
Decision Tree Regressor,1.0045,3.4217,1.8294,0.4231,0.5781,0.3752,6.477,"(9,)"
Decision Tree Regressor,0.9117,2.9245,1.6926,0.5201,0.5233,0.3346,6.508,"(10,)"
Decision Tree Regressor,1.1208,3.9499,1.9782,0.3561,0.6065,0.42,6.453,"(12,)"
Decision Tree Regressor,0.8492,2.5238,1.5824,0.563,0.4999,0.3305,6.499,"(13,)"
Decision Tree Regressor,1.0372,3.6623,1.9008,0.401,0.5897,0.3789,6.593,"(15,)"
Decision Tree Regressor,1.2189,4.3501,2.0787,0.2203,0.6298,0.4601,7.186,"(16,)"
Decision Tree Regressor,1.0863,3.6635,1.899,0.4088,0.5926,0.4179,7.117,"(17,)"
Decision Tree Regressor,0.8885,2.6787,1.6306,0.5574,0.5091,0.3267,5.37,"(1,)"
Decision Tree Regressor,1.1227,3.9269,1.9576,0.3329,0.6079,0.3956,5.977,"(2,)"
Decision Tree Regressor,0.9402,3.0116,1.7208,0.4451,0.5591,0.3504,6.21,"(3,)"
Decision Tree Regressor,0.941,3.1575,1.7749,0.4907,0.5517,0.3231,5.737,"(4,)"
Decision Tree Regressor,1.1426,4.156,2.0351,0.3084,0.6011,0.4042,4.979,"(5,)"
Decision Tree Regressor,0.9386,3.1457,1.7639,0.4255,0.5584,0.3434,5.578,"(6,)"
Decision Tree Regressor,1.1437,3.7554,1.9296,0.3626,0.6128,0.4063,5.299,"(8,)"
Decision Tree Regressor,0.9191,3.0316,1.733,0.487,0.5436,0.3459,5.288,"(9,)"
Decision Tree Regressor,1.1716,4.1186,2.0153,0.338,0.6193,0.4022,5.096,"(10,)"
Decision Tree Regressor,0.9518,3.1111,1.7578,0.4915,0.563,0.3663,5.071,"(12,)"
Decision Tree Regressor,0.906,2.9662,1.7005,0.5042,0.5299,0.351,5.224,"(13,)"
Decision Tree Regressor,1.0683,3.6129,1.8924,0.3912,0.6005,0.3915,5.162,"(15,)"
Decision Tree Regressor,1.2216,4.3003,2.0692,0.2552,0.6313,0.4844,5.084,"(16,)"
Decision Tree Regressor,1.0112,3.4393,1.8373,0.4632,0.5702,0.3637,5.475,"(17,)"
Decision Tree Regressor,0.9087,3.0268,1.7317,0.5006,0.5272,0.3425,4.183,"(1,)"
Decision Tree Regressor,1.0133,3.4361,1.8378,0.429,0.5783,0.3752,4.704,"(2,)"
Decision Tree Regressor,0.8798,2.6923,1.6337,0.5149,0.5184,0.3403,4.429,"(3,)"
Decision Tree Regressor,1.0803,3.8975,1.9632,0.3721,0.5942,0.3874,4.202,"(4,)"
Decision Tree Regressor,0.9809,3.121,1.7631,0.4664,0.549,0.3403,4.128,"(5,)"
Decision Tree Regressor,0.8675,2.5904,1.6027,0.5285,0.505,0.3247,5.126,"(6,)"
Decision Tree Regressor,0.9459,3.0701,1.7417,0.4868,0.5558,0.358,4.205,"(8,)"
Decision Tree Regressor,0.983,3.2758,1.8039,0.4351,0.5614,0.3733,3.791,"(9,)"
Decision Tree Regressor,1.0266,3.3924,1.8183,0.4643,0.5594,0.3515,3.868,"(10,)"
Decision Tree Regressor,0.8227,2.3887,1.5357,0.6131,0.4998,0.3385,3.391,"(12,)"
Decision Tree Regressor,0.9069,2.8729,1.6703,0.5081,0.5303,0.36,3.269,"(13,)"
Decision Tree Regressor,1.1628,3.9125,1.9565,0.3435,0.6096,0.428,3.307,"(15,)"
Decision Tree Regressor,1.0943,3.7415,1.9238,0.3745,0.6056,0.4031,3.34,"(16,)"
Decision Tree Regressor,0.951,3.1298,1.7585,0.4872,0.556,0.3307,3.296,"(17,)"
Decision Tree Regressor,1.0213,3.4005,1.8252,0.4412,0.5464,0.3672,4.468,"(1,)"
Decision Tree Regressor,1.1173,3.9892,1.9812,0.3306,0.6066,0.4024,3.555,"(2,)"
Decision Tree Regressor,0.9438,3.1375,1.7674,0.3987,0.5471,0.3747,3.394,"(3,)"
Decision Tree Regressor,1.0457,3.6666,1.8882,0.4164,0.561,0.3833,3.428,"(4,)"
Decision Tree Regressor,1.1085,3.9165,1.9627,0.3562,0.5884,0.3563,3.283,"(5,)"
Decision Tree Regressor,0.8827,2.7264,1.6454,0.5048,0.5293,0.3519,3.328,"(6,)"
Decision Tree Regressor,1.2232,4.2927,2.0657,0.2855,0.6331,0.4451,3.372,"(8,)"
Decision Tree Regressor,0.941,3.0386,1.7378,0.4779,0.5325,0.3498,3.355,"(9,)"
Decision Tree Regressor,0.9437,3.0938,1.7482,0.5023,0.5318,0.3386,3.378,"(10,)"
Decision Tree Regressor,0.9903,3.2291,1.7909,0.471,0.5661,0.3773,3.325,"(12,)"
Decision Tree Regressor,0.7985,2.2409,1.4896,0.6076,0.4821,0.3236,3.38,"(13,)"
Decision Tree Regressor,0.9606,3.2461,1.7919,0.4683,0.5709,0.3481,3.457,"(15,)"
Decision Tree Regressor,1.0969,3.6835,1.9092,0.3777,0.5882,0.4265,3.239,"(16,)"
Decision Tree Regressor,0.9542,3.0429,1.7355,0.4953,0.5362,0.355,3.485,"(17,)"
Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9,2.8934,1.6898,0.5364,0.5301,0.3186,3.096,"(1,)"
Decision Tree Regressor,1.1481,3.965,1.9774,0.357,0.6117,0.4478,3.14,"(2,)"
Decision Tree Regressor,0.8661,2.5981,1.6001,0.5235,0.5176,0.3313,3.126,"(3,)"
Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.8628,2.7262,1.6348,0.5576,0.5138,0.3065,4.509,"(1,)"
Decision Tree Regressor,1.1742,4.2071,2.044,0.2839,0.6127,0.4585,3.104,"(2,)"
Decision Tree Regressor,0.8863,2.8699,1.68,0.4716,0.5462,0.3401,3.084,"(3,)"
Decision Tree Regressor,1.0051,3.4155,1.8345,0.4346,0.5722,0.3598,3.08,"(4,)"
Decision Tree Regressor,1.1647,4.0853,2.0032,0.3277,0.6109,0.3667,3.082,"(5,)"
Decision Tree Regressor,0.9025,2.7239,1.643,0.4912,0.524,0.3584,3.075,"(6,)"
Decision Tree Regressor,1.2672,4.5548,2.1232,0.2559,0.6658,0.4525,3.089,"(8,)"
Decision Tree Regressor,0.942,3.1088,1.7514,0.488,0.5479,0.3401,3.075,"(9,)"
Decision Tree Regressor,1.0454,3.4368,1.8445,0.4465,0.5712,0.3657,3.081,"(10,)"
Decision Tree Regressor,0.9597,3.0121,1.7321,0.5069,0.5487,0.3722,3.088,"(12,)"
Decision Tree Regressor,0.8795,2.8359,1.6711,0.4982,0.5244,0.362,3.088,"(13,)"
Decision Tree Regressor,0.93,2.9986,1.7228,0.5053,0.5411,0.35,3.079,"(15,)"
Decision Tree Regressor,1.0839,3.6648,1.8961,0.3435,0.5973,0.3969,3.095,"(16,)"
Decision Tree Regressor,0.9164,3.0081,1.7226,0.4978,0.5259,0.3159,3.083,"(17,)"
Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9836,3.2295,1.78,0.4737,0.5474,0.3365,3.16,"(1,)"
Decision Tree Regressor,1.1239,4.0517,1.9946,0.3115,0.605,0.413,3.137,"(2,)"
Decision Tree Regressor,0.8565,2.4925,1.5694,0.524,0.5121,0.3431,3.116,"(3,)"
Decision Tree Regressor,0.8697,2.7771,1.6564,0.542,0.5099,0.3055,3.129,"(4,)"
Decision Tree Regressor,1.2035,4.1783,2.0363,0.2851,0.6216,0.4065,3.14,"(5,)"
Decision Tree Regressor,0.9096,2.7086,1.6356,0.5156,0.5316,0.3419,3.119,"(6,)"
Decision Tree Regressor,1.095,3.8252,1.9299,0.3653,0.5849,0.4106,3.119,"(8,)"
Decision Tree Regressor,0.9929,3.3017,1.8123,0.4441,0.5649,0.3449,3.261,"(9,)"
Decision Tree Regressor,1.1125,4.1975,2.0283,0.3587,0.6157,0.3933,3.133,"(10,)"
Decision Tree Regressor,0.9641,3.198,1.7854,0.4812,0.5703,0.364,3.143,"(12,)"
Decision Tree Regressor,1.088,3.6339,1.8953,0.3672,0.5871,0.4267,3.148,"(13,)"
Decision Tree Regressor,0.9512,3.1824,1.7466,0.4868,0.5431,0.3471,3.147,"(15,)"
Decision Tree Regressor,1.1556,4.1778,2.0246,0.299,0.6201,0.3907,3.151,"(16,)"
Decision Tree Regressor,0.8306,2.5377,1.5788,0.5865,0.4935,0.325,3.156,"(17,)"
Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
