Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9334,3.2795,1.7938,0.4339,0.5411,0.3203,4.71,"(1, 2, 3)"
Decision Tree Regressor,1.0257,3.6568,1.8907,0.4432,0.5755,0.3308,4.316,"(1, 2, 4)"
Decision Tree Regressor,1.2912,4.4721,2.1096,0.2625,0.6368,0.4291,4.271,"(1, 2, 5)"
Decision Tree Regressor,0.9548,2.8959,1.6856,0.4942,0.5236,0.3538,4.426,"(1, 2, 6)"
Decision Tree Regressor,0.9658,3.0438,1.7334,0.5164,0.5464,0.3354,4.273,"(1, 2, 8)"
Decision Tree Regressor,1.0165,3.4398,1.8365,0.4334,0.5476,0.3403,4.337,"(1, 2, 9)"
Decision Tree Regressor,1.2818,4.7755,2.1737,0.2911,0.6439,0.4469,4.386,"(1, 2, 10)"
Decision Tree Regressor,0.9484,2.9949,1.7201,0.5457,0.5529,0.3359,4.428,"(1, 2, 12)"
Decision Tree Regressor,0.8389,2.7235,1.6358,0.5594,0.5166,0.3231,4.296,"(1, 2, 13)"
Decision Tree Regressor,1.0464,3.8027,1.9256,0.3987,0.5814,0.3526,4.342,"(1, 2, 15)"
Decision Tree Regressor,0.8814,2.3926,1.5337,0.6045,0.4955,0.3164,4.311,"(1, 2, 16)"
Decision Tree Regressor,0.9197,3.0536,1.7337,0.5269,0.5217,0.3142,4.314,"(1, 2, 17)"
Decision Tree Regressor,0.886,2.8093,1.6675,0.5196,0.5392,0.3049,4.24,"(1, 3, 4)"
Decision Tree Regressor,1.2245,3.9965,1.9891,0.2936,0.6231,0.4434,4.268,"(1, 3, 5)"
Decision Tree Regressor,0.8106,2.3411,1.524,0.5354,0.499,0.2936,4.226,"(1, 3, 6)"
Decision Tree Regressor,1.0259,3.36,1.8193,0.4282,0.5704,0.3691,4.197,"(1, 3, 8)"
Decision Tree Regressor,1.0522,3.5727,1.8813,0.3511,0.5561,0.3612,4.283,"(1, 3, 9)"
Decision Tree Regressor,0.9669,3.2437,1.7885,0.4522,0.5455,0.3222,4.228,"(1, 3, 10)"
Decision Tree Regressor,0.9655,3.2549,1.7848,0.4583,0.5516,0.3417,4.227,"(1, 3, 12)"
Decision Tree Regressor,0.768,2.1935,1.4728,0.5924,0.4936,0.3102,4.274,"(1, 3, 13)"
Decision Tree Regressor,0.8602,2.6674,1.6289,0.5333,0.5024,0.3005,4.219,"(1, 3, 15)"
Decision Tree Regressor,0.8344,2.4372,1.5468,0.5671,0.5194,0.3119,4.258,"(1, 3, 16)"
Decision Tree Regressor,0.9138,2.9643,1.71,0.4782,0.5305,0.3243,4.211,"(1, 3, 17)"
Decision Tree Regressor,1.0531,3.5783,1.8798,0.4296,0.5634,0.3349,4.202,"(1, 4, 5)"
Decision Tree Regressor,0.936,3.0915,1.7426,0.4868,0.5296,0.3246,4.308,"(1, 4, 6)"
Decision Tree Regressor,1.0037,3.519,1.8678,0.445,0.5666,0.3347,4.261,"(1, 4, 8)"
Decision Tree Regressor,1.1273,3.9293,1.9695,0.3667,0.5876,0.375,4.249,"(1, 4, 9)"
Decision Tree Regressor,1.1195,3.6579,1.9034,0.4579,0.5781,0.3611,4.215,"(1, 4, 10)"
Decision Tree Regressor,1.0293,3.2868,1.8031,0.4995,0.5759,0.3665,4.226,"(1, 4, 12)"
Decision Tree Regressor,0.9151,2.9542,1.7074,0.511,0.54,0.3099,4.196,"(1, 4, 13)"
Decision Tree Regressor,0.8734,2.8563,1.6781,0.5496,0.5128,0.2862,4.212,"(1, 4, 15)"
Decision Tree Regressor,0.8748,2.6958,1.6307,0.5634,0.5217,0.3125,4.217,"(1, 4, 16)"
Decision Tree Regressor,0.9451,3.2729,1.802,0.5061,0.5393,0.3252,4.227,"(1, 4, 17)"
Decision Tree Regressor,1.0167,3.069,1.7441,0.458,0.5397,0.3626,4.238,"(1, 5, 6)"
Decision Tree Regressor,1.252,4.266,2.0536,0.3057,0.6244,0.4175,4.265,"(1, 5, 8)"
Decision Tree Regressor,1.0013,3.115,1.755,0.4777,0.5493,0.3392,4.218,"(1, 5, 9)"
Decision Tree Regressor,1.128,3.6954,1.9117,0.4307,0.5833,0.3559,4.229,"(1, 5, 10)"
Decision Tree Regressor,1.2239,4.4022,2.0833,0.3294,0.6223,0.4143,4.409,"(1, 5, 12)"
Decision Tree Regressor,0.9873,3.3362,1.8154,0.4224,0.5595,0.3421,4.253,"(1, 5, 13)"
Decision Tree Regressor,1.1776,4.1785,2.0317,0.3129,0.6121,0.3669,4.253,"(1, 5, 15)"
Decision Tree Regressor,1.2095,4.3587,2.0751,0.2573,0.6343,0.3917,4.222,"(1, 5, 16)"
Decision Tree Regressor,1.3129,4.7643,2.1656,0.2463,0.645,0.4241,4.216,"(1, 5, 17)"
Decision Tree Regressor,1.0111,3.0732,1.738,0.4853,0.5531,0.361,4.177,"(1, 6, 8)"
Decision Tree Regressor,0.9665,3.116,1.7585,0.4276,0.533,0.3597,4.244,"(1, 6, 9)"
Decision Tree Regressor,0.9466,3.1817,1.7725,0.4748,0.542,0.306,4.321,"(1, 6, 10)"
Decision Tree Regressor,0.8159,2.4182,1.5435,0.5878,0.4998,0.3032,4.222,"(1, 6, 12)"
Decision Tree Regressor,0.9514,2.8623,1.6888,0.4944,0.5306,0.3541,4.209,"(1, 6, 13)"
Decision Tree Regressor,0.8382,2.5901,1.5838,0.5486,0.5206,0.3099,4.231,"(1, 6, 15)"
Decision Tree Regressor,0.8838,2.6842,1.6256,0.5208,0.5287,0.3144,4.279,"(1, 6, 16)"
Decision Tree Regressor,0.9908,3.1779,1.7722,0.4646,0.5572,0.3401,4.237,"(1, 6, 17)"
Decision Tree Regressor,1.0933,3.7785,1.9326,0.3718,0.5783,0.3805,4.213,"(1, 8, 9)"
Decision Tree Regressor,1.002,3.3825,1.8353,0.4907,0.5626,0.3347,4.238,"(1, 8, 10)"
Decision Tree Regressor,1.1689,4.3552,2.0727,0.3481,0.6045,0.3913,4.23,"(1, 8, 12)"
Decision Tree Regressor,0.9256,2.9831,1.7138,0.5035,0.5334,0.3117,4.229,"(1, 8, 13)"
Decision Tree Regressor,1.0889,3.846,1.9442,0.4044,0.5934,0.3328,4.222,"(1, 8, 15)"
Decision Tree Regressor,1.0891,3.4609,1.838,0.4165,0.5887,0.3977,4.233,"(1, 8, 16)"
