Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9337,3.1182,1.751,0.4524,0.544,0.3487,3.863,"(1, 2, 3)"
Decision Tree Regressor,1.1156,3.9982,1.9852,0.3586,0.6079,0.3994,3.486,"(1, 2, 4)"
Decision Tree Regressor,1.04,3.329,1.8185,0.4439,0.5911,0.3731,3.395,"(1, 2, 5)"
Decision Tree Regressor,1.0482,3.6222,1.8958,0.3761,0.5752,0.3795,3.443,"(1, 2, 6)"
Decision Tree Regressor,0.9372,2.9813,1.7127,0.5314,0.539,0.3547,3.467,"(1, 2, 8)"
Decision Tree Regressor,1.0083,3.2908,1.7943,0.4581,0.5602,0.3713,3.49,"(1, 2, 9)"
Decision Tree Regressor,1.151,4.1217,2.0162,0.4033,0.6022,0.3889,3.485,"(1, 2, 10)"
Decision Tree Regressor,1.0053,3.4573,1.8427,0.4917,0.5635,0.3584,3.647,"(1, 2, 12)"
Decision Tree Regressor,0.8258,2.5768,1.5946,0.5745,0.498,0.2991,3.542,"(1, 2, 13)"
Decision Tree Regressor,0.9369,3.1357,1.7464,0.498,0.5322,0.3196,3.548,"(1, 2, 15)"
Decision Tree Regressor,0.8998,2.7126,1.6398,0.5411,0.5192,0.3364,3881.486,"(1, 2, 16)"
Decision Tree Regressor,0.8834,2.8243,1.656,0.572,0.5072,0.3196,3.573,"(1, 2, 17)"
Decision Tree Regressor,0.8289,2.516,1.5662,0.5396,0.5161,0.2949,3.516,"(1, 3, 4)"
Decision Tree Regressor,1.1658,3.9257,1.9692,0.3112,0.6004,0.4234,3.677,"(1, 3, 5)"
Decision Tree Regressor,0.9839,3.2798,1.7882,0.3795,0.5675,0.367,3.594,"(1, 3, 6)"
Decision Tree Regressor,1.018,3.5239,1.8565,0.4103,0.5799,0.3432,3.729,"(1, 3, 8)"
Decision Tree Regressor,1.1296,4.1504,2.0315,0.2352,0.6108,0.4018,3.386,"(1, 3, 9)"
Decision Tree Regressor,0.8364,2.5715,1.5947,0.5756,0.5073,0.2835,3.408,"(1, 3, 10)"
Decision Tree Regressor,0.8963,2.9893,1.6986,0.5043,0.5299,0.3076,3.368,"(1, 3, 12)"
Decision Tree Regressor,0.8774,2.614,1.6133,0.504,0.5164,0.3623,3.423,"(1, 3, 13)"
Decision Tree Regressor,1.0255,3.6363,1.8896,0.3762,0.5894,0.3411,3.392,"(1, 3, 15)"
Decision Tree Regressor,0.7986,2.3993,1.5446,0.5473,0.5084,0.3015,3.386,"(1, 3, 16)"
Decision Tree Regressor,0.9967,3.3713,1.8151,0.4431,0.5644,0.3694,3.371,"(1, 3, 17)"
Decision Tree Regressor,1.195,4.1109,2.0085,0.3293,0.6148,0.3823,3.38,"(1, 4, 5)"
Decision Tree Regressor,0.9038,2.7873,1.6639,0.5471,0.5202,0.3169,3.378,"(1, 4, 6)"
Decision Tree Regressor,0.9515,2.8681,1.6868,0.5484,0.5217,0.3247,3.399,"(1, 4, 8)"
Decision Tree Regressor,1.1606,4.2455,2.0524,0.3224,0.6117,0.3751,3.385,"(1, 4, 9)"
Decision Tree Regressor,1.2257,4.489,2.1078,0.3492,0.6084,0.3883,3.408,"(1, 4, 10)"
Decision Tree Regressor,0.9161,2.9341,1.7031,0.5564,0.5211,0.3168,3.427,"(1, 4, 12)"
Decision Tree Regressor,0.9019,3.1349,1.7672,0.4768,0.5377,0.303,3.389,"(1, 4, 13)"
Decision Tree Regressor,0.968,3.3264,1.7895,0.481,0.5355,0.3156,3.377,"(1, 4, 15)"
Decision Tree Regressor,0.9586,3.0645,1.7426,0.5092,0.5373,0.3152,3.373,"(1, 4, 16)"
Decision Tree Regressor,0.9941,3.442,1.8493,0.4872,0.5514,0.3185,3.405,"(1, 4, 17)"
Decision Tree Regressor,1.1458,3.6872,1.8837,0.3546,0.5968,0.3946,3.365,"(1, 5, 6)"
Decision Tree Regressor,1.228,4.2797,2.0585,0.3133,0.6214,0.4036,3.39,"(1, 5, 8)"
Decision Tree Regressor,1.0717,3.4785,1.8506,0.4213,0.5757,0.3676,3.505,"(1, 5, 9)"
Decision Tree Regressor,1.183,4.2174,2.0394,0.3445,0.6143,0.3761,3.558,"(1, 5, 10)"
Decision Tree Regressor,1.2985,4.6376,2.1397,0.2757,0.637,0.4366,3.505,"(1, 5, 12)"
Decision Tree Regressor,1.0113,3.1883,1.7733,0.4661,0.566,0.3797,3.461,"(1, 5, 13)"
Decision Tree Regressor,1.2902,4.3802,2.0817,0.2839,0.6479,0.4261,3.452,"(1, 5, 15)"
Decision Tree Regressor,1.0828,3.5281,1.8721,0.4021,0.568,0.3747,3.457,"(1, 5, 16)"
Decision Tree Regressor,1.1772,4.0874,2.0065,0.3662,0.6111,0.3773,3.454,"(1, 5, 17)"
Decision Tree Regressor,0.9582,2.9771,1.716,0.4944,0.5495,0.3437,3.402,"(1, 6, 8)"
Decision Tree Regressor,0.9295,2.9407,1.7011,0.46,0.5131,0.3504,3.489,"(1, 6, 9)"
Decision Tree Regressor,1.0227,3.424,1.8358,0.4527,0.5527,0.3534,3.383,"(1, 6, 10)"
Decision Tree Regressor,0.9751,3.0207,1.7189,0.4873,0.5267,0.3463,3.379,"(1, 6, 12)"
Decision Tree Regressor,0.8366,2.6289,1.5864,0.5175,0.5006,0.3193,3.382,"(1, 6, 13)"
Decision Tree Regressor,0.8758,2.6474,1.6182,0.5588,0.5268,0.3072,3.387,"(1, 6, 15)"
Decision Tree Regressor,0.8337,2.3768,1.5238,0.5751,0.497,0.3205,3.393,"(1, 6, 16)"
Decision Tree Regressor,1.0018,3.3527,1.8167,0.4372,0.5631,0.3352,3.389,"(1, 6, 17)"
Decision Tree Regressor,1.0695,3.7435,1.9267,0.3962,0.56,0.3608,3.097,"(1, 8, 9)"
Decision Tree Regressor,1.0285,3.583,1.8613,0.4577,0.5404,0.3435,3.382,"(1, 8, 10)"
Decision Tree Regressor,1.0057,3.4468,1.8366,0.4907,0.555,0.3305,3.381,"(1, 8, 12)"
Decision Tree Regressor,0.9328,3.0513,1.7383,0.4871,0.5614,0.3381,3.386,"(1, 8, 13)"
Decision Tree Regressor,1.1713,4.0573,2.0047,0.3541,0.6005,0.3753,3.386,"(1, 8, 15)"
Decision Tree Regressor,1.108,3.6937,1.8945,0.3785,0.5882,0.3752,3.409,"(1, 8, 16)"
Decision Tree Regressor,1.0842,3.3469,1.8157,0.4864,0.573,0.3896,3.403,"(1, 8, 17)"
Decision Tree Regressor,1.3159,5.0455,2.2379,0.2461,0.6682,0.4571,3.421,"(1, 9, 10)"
