,Best Model,Min MAE,Max MAE,AVG MAE
1,K Neighbors Regressor,0.0941,0.8824,1.466688235294117
2,K Neighbors Regressor,0.2507,2.1771,3.8922176470588226
3,K Neighbors Regressor,0.3917,5.2291,5.007129411764706
4,K Neighbors Regressor,0.1378,3.1229,2.455641176470589
5,K Neighbors Regressor,0.0667,0.6084,1.0012235294117648
6,K Neighbors Regressor,0.67,8.6839,8.306076470588236
8,AdaBoost Regressor,0.0612,1.6514,0.923994117647059
9,K Neighbors Regressor,0.2088,3.1823,4.333435294117647
10,K Neighbors Regressor,0.2317,2.0907,2.4169117647058833
12,K Neighbors Regressor,0.2436,1.851,3.114158823529412
13,K Neighbors Regressor,0.5842,2.7368,5.594411764705883
15,K Neighbors Regressor,0.2706,2.5441,4.411582352941175
16,K Neighbors Regressor,0.3867,5.8849,7.213770588235294
17,K Neighbors Regressor,0.2269,2.35,2.8134823529411763
