Model,Feature,Min,25q,Median,75q,Max,Mean
DecisionTreeRegressor,wrist_acc_time,0.0,0.2252870580631916,0.37448159749298393,0.49213575976805307,0.6172319579702877,0.35575458969973794
DecisionTreeRegressor,wrist_acc_perc75,0.0,0.0,0.0,0.0011070572642886,0.6154109206052275,0.04559688601355542
DecisionTreeRegressor,trunk_acc_med,0.0,0.0,0.0,0.04444479306244975,0.355584741376808,0.04107782112139905
ExtraTreesRegressor,wrist_acc_time,0.0506724029799713,0.05980938208251677,0.09969922978404369,0.16369420096012816,0.3970943474922608,0.1298121945389699
ExtraTreesRegressor,trunk_acc_mean,0.0082807938559129,0.01428557030680945,0.0299112995765545,0.040512860004750774,0.0997262927420097,0.03529767362191649
ExtraTreesRegressor,wrist_acc_mean,0.0029572260039111,0.011933122259344599,0.021898330958993698,0.03570053058890167,0.1388583493240003,0.03292128142878306
GradientBoostingRegressor,wrist_acc_time,0.0124025761907929,0.2888470408028909,0.3839037459471881,0.47745071303025943,0.6245559382069894,0.3682728816688298
GradientBoostingRegressor,wrist_acc_perc75,1.862411355296735e-07,0.000692586082446625,0.0028831374780473,0.007438818355371175,0.5410264631115974,0.04516276083544713
GradientBoostingRegressor,trunk_acc_med,2.518090395905518e-05,0.000774762555220575,0.006255204781727549,0.023413037057770397,0.3342286734423281,0.03793603734718237
RandomForestRegressor,wrist_acc_time,0.0508563546255507,0.19728645879586293,0.3050549049412648,0.35102872789551054,0.5570843727525265,0.2877388540030357
RandomForestRegressor,trunk_acc_med,0.0015265240937416,0.005555646811599025,0.01641162913467795,0.0208426886397948,0.1919704031113835,0.032596507355049785
RandomForestRegressor,wrist_acc_perc75,0.0006493506493506,0.002391328038574675,0.0063286717384405,0.016456064687172277,0.2872421216720813,0.03176419283622102
