,Model,Feature,Min,25q,Median,75q,Max,Mean
0,DecisionTreeRegressor,wrist_acc_time,0.0,0.2252870580631916,0.37448159749298393,0.49213575976805307,0.6172319579702877,0.35575458969973794
1,DecisionTreeRegressor,upperarm_acc_med,0.0,0.0,0.00127430360948185,0.0137287913571377,0.2021342868263234,0.02594386877686499
2,DecisionTreeRegressor,wrist_acc_max,0.0,0.0,0.0008522035549062,0.00625278839569615,0.0833333333333333,0.012899121049149935
3,ExtraTreesRegressor,wrist_acc_time,0.0506724029799713,0.05980938208251677,0.09969922978404369,0.16369420096012816,0.3970943474922608,0.1298121945389699
4,ExtraTreesRegressor,trunk_acc_mean,0.0082807938559129,0.01428557030680945,0.0299112995765545,0.040512860004750774,0.0997262927420097,0.03529767362191649
5,ExtraTreesRegressor,trunk_acc_med,0.0052549609478032,0.016681829500772752,0.0235760230459136,0.030149814110630627,0.0884624238526936,0.028677942396926535
6,GradientBoostingRegressor,wrist_acc_time,0.0124025761907929,0.2888470408028909,0.3839037459471881,0.47745071303025943,0.6245559382069894,0.3682728816688298
7,GradientBoostingRegressor,upperarm_acc_mean,0.000332744410503,0.0031844099997750753,0.01002188238858475,0.014416397619240375,0.2890518738541896,0.03655673144037592
8,GradientBoostingRegressor,wrist_jerk_med,0.0,0.00021642877189175,0.0082891245421244,0.04175321624117615,0.1415756218944708,0.028739833352832398
9,RandomForestRegressor,wrist_acc_time,0.0508563546255507,0.19728645879586293,0.3050549049412648,0.35102872789551054,0.5570843727525265,0.2877388540030357
10,RandomForestRegressor,trunk_acc_med,0.0015265240937416,0.005555646811599025,0.01641162913467795,0.0208426886397948,0.1919704031113835,0.032596507355049785
11,RandomForestRegressor,wrist_acc_med,0.0020870195071475,0.0054710324230436745,0.0133077637759352,0.023200086426253076,0.0587390078782222,0.019874869372729552
