Model,Feature,Min,25q,Median,75q,Max,Mean
DecisionTreeRegressor,trunk_acc_med,0.0,0.0,0.01328531814180085,0.12880463422339525,0.5121951219512196,0.08139679446412053
DecisionTreeRegressor,upperarm_acc_med,0.0,0.0,0.01085324611556555,0.0577448359762382,0.1080978354869411,0.02745857307886885
DecisionTreeRegressor,trunk_acc_min,0.0,0.0,0.008410965079512,0.020975461996478997,0.0856141769105859,0.01801668519556444
ExtraTreesRegressor,trunk_acc_med,0.0116760759443074,0.016922424002809525,0.0265886133828198,0.03781665452691475,0.1131616893814809,0.03486747079423686
ExtraTreesRegressor,trunk_acc_mean,0.0075323661979866,0.01630352936986515,0.02585329372995,0.034618379926161826,0.1318845633870608,0.03383436602989719
ExtraTreesRegressor,wrist_jerk_mad,0.0067304753454148,0.012865488882320024,0.025178306856103998,0.03404738450888265,0.0550900800061278,0.025559303625140084
GradientBoostingRegressor,trunk_acc_med,0.0008333906724397,0.0057271194313408,0.044903707256806105,0.0815410212266698,0.57980952316279,0.08322538667164614
GradientBoostingRegressor,wrist_acc_med,0.0003485612121167,0.006001942524343125,0.02558145257083445,0.06106290852363457,0.2275900575338756,0.046869443885458544
GradientBoostingRegressor,trunk_acc_mean,3.9707498859120575e-05,0.003236389399190725,0.02068937981440845,0.06185088196062525,0.2279531948105359,0.05081068096980381
RandomForestRegressor,trunk_acc_med,0.0113469723673214,0.01980882377266665,0.031394773911233895,0.057584753037404124,0.2975933505515706,0.05381463499602878
RandomForestRegressor,trunk_acc_mean,0.0051757052421411,0.00966326923397305,0.03050837057584985,0.043806587790008074,0.1173529304664817,0.03389377907763645
RandomForestRegressor,wrist_acc_med,0.0015253245423723,0.018069237401396123,0.0258127767627949,0.051402066161333575,0.1945551235495864,0.045072324345900715
